abc31,461,779,
231,325,721,
149,471,766,
18,432,683,
239,434,740,
148,443,748,
100,400,774,
13,353,755,
117,290,732,
51,483,731,
110,272,629,
201,484,689,
196,433,760,
246,455,728,
114,353,704,
93,291,734,
167,500,775,
76,290,743,
178,385,651,
101,488,745,
170,328,617,
172,354,640,
150,499,793,
21,344,627,
82,291,674,
42,384,784,
120,353,772,
156,494,640,
80,359,670,
140,432,735,
127,317,642,
225,271,674,
93,488,781,
64,285,650,
149,376,701,
198,328,641,
37,456,651,
93,431,726,
100,447,781,
208,371,610,
78,367,699,
112,415,762,
187,470,640,
190,444,665,
41,361,760,
109,441,798,
150,431,746,
43,293,759,
142,450,619,
234,484,680,
153,449,781,
87,490,608,
226,465,676,
134,416,748,
228,269,656,
104,401,658,
46,418,622,
117,281,687,
182,364,619,
250,447,692,
134,397,695,
179,404,649,
60,394,673,
118,486,603,
165,440,782,
63,331,666,
119,314,788,
41,328,600,
153,351,754,
141,409,707,
67,342,753,
188,283,619,
189,495,669,
155,373,792,
165,440,792,
135,477,645,
234,284,697,
54,463,727,
15,479,706,
157,406,640,
36,485,778,
110,474,638,
236,363,612,
235,378,773,
170,461,765,
201,383,670,
106,393,791,
241,289,738,
200,345,794,
8,329,767,
44,261,657,
201,334,782,
104,402,653,
204,388,766,
230,403,764,
220,330,606,
57,314,615,
232,428,764,
143,479,611,
174,394,777,
177,291,754,
43,392,774,
34,319,673,
178,334,709,
199,442,774,
126,308,696,
50,278,741,
225,283,618,
167,494,727,
194,330,747,
240,497,683,
241,384,660,
14,352,785,
103,408,730,
160,452,752,
10,436,664,
88,372,704,
81,390,686,
238,315,696,
102,383,724,
30,312,657,
115,383,692,
187,429,789,
59,413,798,
153,369,695,
8,488,694,
39,270,746,
241,332,789,
127,384,704,
245,398,717,
137,317,708,
204,409,645,
125,447,642,
83,404,654,
210,386,707,
128,481,731,
245,414,800,
183,445,786,
181,419,719,
221,460,668,
111,386,787,
106,478,605,
248,301,790,
149,444,614,
189,409,791,
160,437,689,
42,490,721,
38,365,641,
77,457,674,
89,322,724,
76,261,717,
220,435,714,
81,319,651,
130,438,709,
196,300,601,
75,378,694,
144,345,775,
204,469,653,
151,456,602,
39,339,738,
144,441,748,
26,442,663,
17,468,607,
250,332,660,
39,497,613,
60,455,775,
160,443,630,
246,317,627,
80,269,713,
163,262,640,
208,500,618,
206,319,721,
229,460,617,
98,423,684,
165,364,714,
107,427,733,
46,293,656,
118,296,618,
36,420,634,
26,359,673,
81,434,796,
189,317,752,
247,483,793,
163,458,626,
106,476,796,
166,386,768,
108,332,685,
4,493,756,
15,267,667,
1,392,782,
61,411,662,
80,287,648,
26,477,764,
96,404,647,
186,281,746,
137,296,652,
4,476,787,
132,357,752,
141,442,794,
123,379,604,
123,335,603,
117,448,644,
85,262,798,
6,500,765,
167,484,745,
179,307,794,
230,371,712,
95,268,790,
40,362,747,
159,301,652,
44,427,671,
147,374,793,
93,412,697,
5,315,716,
138,326,686,
223,476,699,
49,362,610,
203,290,685,
140,461,614,
169,459,604,
16,336,777,
250,399,619,
161,328,787,
31,480,635,
109,476,790,
25,407,601,
101,437,617,
190,347,742,
170,448,699,
186,294,621,
137,415,678,
154,406,623,
63,447,632,
199,294,698,
155,448,784,
235,394,611,
97,269,674,
36,371,658,
207,260,645,
218,476,729,
6,385,694,
218,409,787,
55,261,799,
239,346,647,
210,368,649,
237,320,754,
79,429,779,
86,322,735,
106,349,737,
69,350,774,
81,378,635,
189,366,700,
103,282,733,
182,368,601,
9,331,672,
202,456,706,
190,320,782,
139,295,643,
224,262,782,
55,317,614,
118,451,646,
183,491,674,
72,272,694,
31,455,671,
108,324,626,
193,389,657,
94,479,750,
203,422,775,
190,342,740,
116,448,791,
210,449,681,
65,262,616,
24,399,700,
77,452,683,
169,357,796,
207,455,649,
49,310,693,
101,370,643,
229,354,714,
185,458,688,
59,359,615,
97,427,642,
90,362,750,
191,358,779,
202,269,745,
141,297,702,
206,327,674,
196,336,765,
186,329,789,
72,375,743,
7,442,647,
129,435,724,
98,322,713,
